Elo Rank	Player	Age	Elo	    	hElo Rank	hElo	cElo Rank	cElo	gElo Rank	gElo	    	Peak Elo	Peak Month	    	ATP Rank	Log diff
54	Gabriel Diallo	23.6	1790.7		61	1736.0	66	1710.9	109	1578.1		1812.3	2025-04		54	0
55	Yoshihito Nishioka	29.6	1790.3		47	1758.3	86	1674.7	67	1636.8		1884.7	2023-01		77	-0.34
56	Roberto Bautista Agut	37.0	1789.8		67	1722.2	44	1742.9	25	1740.9		2033.8	2016-02		49	0.13
57	Hamad Medjedovic	21.7	1788.7		46	1761.3	61	1719.4	66	1642.3		1844.3	2025-04		74	-0.26
58	Marin Cilic	36.5	1786.5		57	1740.4	54	1731.3	24	1742.7		2100.4	2010-02		104	-0.58
59	David Goffin	34.3	1782.6		58	1740.2	58	1725.9	30	1723.4		2048.7	2017-04		47	0.23
60	Kei Nishikori	35.3	1782.1		51	1746.5	102	1655.0	75	1625.2		2194.2	2016-08		58	0.03
61	Juncheng Shang	19.9	1781.5		63	1733.3	100	1658.1	54	1668.6		1895.7	2024-09		71	-0.15
62	Roman Safiullin	27.7	1780.4		52	1746.0	72	1703.2	43	1692.9		1911.3	2024-01		72	-0.15
63	Miomir Kecmanovic	25.7	1778.9		60	1737.2	67	1709.5	58	1654.5		1900.6	2022-04		46	0.31
64	Marton Fucsovics	33.2	1776.0		64	1727.7	57	1727.5	33	1718.7		1924.2	2021-03		124	-0.66
65	Kamil Majchrzak	29.3	1769.3		70	1710.5	45	1742.7	49	1677.5		1810.1	2025-04		96	-0.39
66	Reilly Opelka	27.7	1767.1		55	1744.0	79	1695.3	74	1625.4		1927.5	2022-04		93	-0.34
67	Corentin Moutet	26.0	1766.2		72	1704.4	69	1708.5	68	1636.6		1830.6	2022-09		73	-0.09
68	Tomas Martin Etcheverry	25.8	1765.8		79	1694.1	47	1741.8	136	1545.5		1871.7	2023-05		53	0.25
69	Sebastian Ofner	29.0	1760.8		88	1677.7	50	1733.7	61	1645.8		1812.7	2024-01		108	-0.45
70	Lucas Pouille	30.9	1758.9		69	1711.4	85	1680.8	47	1683.7		1987.7	2017-06		135	-0.66
71	Camilo Ugo Carabelli	25.9	1756.9		111	1630.6	53	1732.2	166	1516.7		1771.9	2025-05		51	0.33
72	Luciano Darderi	23.2	1756.6		189	1524.9	46	1742.5	121	1564.6		1857.0	2024-06		45	0.47
73	Lorenzo Sonego	29.9	1756.2		65	1726.6	83	1685.9	59	1649.1		1895.3	2021-05		44	0.51
74	Jason Kubler	31.9	1755.8		75	1702.8	98	1659.7	36	1715.0		1790.0	2022-07		209	-1.04
75	Vit Kopriva	27.8	1753.1		95	1651.0	63	1713.4	69	1635.6		1756.3	2025-05		86	-0.14
76	Jaume Munar	28.0	1751.1		86	1682.1	70	1706.2	132	1546.6		1819.0	2021-04		57	0.29
77	Alejandro Tabilo	27.8	1750.5		82	1689.6	62	1714.5	51	1673.7		1895.7	2024-07		61	0.23
78	Learner Tien	19.4	1749.1		59	1739.7	186	1527.9	110	1574.5		1888.2	2025-02		67	0.15
79	Christopher Oconnell	30.9	1748.0		66	1726.2	101	1657.4	63	1644.4		1814.1	2025-03		82	-0.04
80	Quentin Halys	28.5	1746.7		68	1713.4	95	1663.9	45	1688.3		1811.4	2023-04		52	0.43
81	Pablo Carreno Busta	33.8	1744.5		62	1735.7	60	1721.4	114	1570.0		2005.1	2021-08		99	-0.20
82	Mariano Navone	24.1	1740.4		156	1571.6	59	1725.8	179	1506.5		1875.9	2024-04		97	-0.17
83	Ethan Quinn	21.1	1738.4		81	1690.7	143	1585.5	97	1597.2		1802.5	2025-04		106	-0.24
84	Benjamin Bonzi	28.8	1732.7		76	1697.4	123	1613.9	64	1644.4		1835.8	2022-06		60	0.34
85	Roberto Carballes Baena	32.1	1730.2		91	1667.9	71	1704.0	124	1561.2		1788.1	2024-07		63	0.30
86	Bu Yunchaokete	23.3	1729.8		83	1688.0	107	1644.2	135	1545.6		1834.9	2024-09		70	0.21
87	Borna Gojo	27.2	1728.9		85	1686.7	90	1673.4	170	1512.1		1800.2	2023-10		224	-0.95
88	Cristian Garin	28.9	1727.9		100	1649.3	65	1711.4	56	1663.0		1889.6	2019-04		123	-0.33
89	Stan Wawrinka	40.1	1727.5		84	1687.9	84	1685.1	81	1614.6		2145.5	2016-01		138	-0.44
90	Zhizhen Zhang	28.3	1727.2		96	1650.9	55	1728.4	82	1614.6		1830.9	2024-09		79	0.13
91	Nicolas Jarry	29.6	1725.4		87	1681.3	76	1699.0	72	1628.6		1903.0	2023-10		149	-0.49
92	Daniel Altmaier	26.6	1724.5		98	1650.4	81	1691.1	130	1550.5		1789.1	2021-08		66	0.33
93	Jan Lennard Struff	35.0	1724.1		94	1651.6	73	1702.8	71	1629.6		1935.1	2024-07		87	0.07
94	Sebastian Baez	24.3	1724.1		141	1589.6	52	1732.4	149	1532.6		1941.4	2022-07		38	0.91
95	Francisco Comesana	24.6	1720.1		130	1605.3	75	1699.2	84	1609.0		1741.0	2025-05		64	0.39
96	Dominik Koepfer	30.7	1719.9		90	1669.9	64	1712.3	83	1613.0		1822.7	2024-03		298	-1.13
97	Botic Van De Zandschulp	29.5	1719.7		78	1695.2	103	1650.9	95	1599.0		1938.0	2022-09		89	0.09
98	Raphael Collignon	23.3	1718.8		89	1676.6	93	1667.0	122	1563.9		1777.6	2025-04		84	0.15
99	Yibing Wu	25.5	1714.6		77	1696.3	127	1611.1	139	1543.9		1882.9	2023-03		401	-1.40
100	Francesco Passaro	24.3	1709.3		137	1598.6	82	1686.7	164	1520.0		1779.0	2022-08		139	-0.33
101	Elmer Moller	21.7	1708.4		176	1539.7	80	1693.1	89	1604.2		1741.1	2025-04		112	-0.10
102	Dusan Lajovic	34.8	1705.7		132	1605.1	77	1697.4	178	1508.3		1854.6	2018-10		125	-0.20
103	Mackenzie Mcdonald	30.0	1705.2		80	1692.9	169	1549.5	80	1616.6		1847.6	2023-03		98	0.05
104	Max Purcell	26.3	1702.6		104	1638.9	176	1539.3	62	1645.3		1789.1	2023-08		154	-0.39
105	Jesper De Jong	24.9	1696.9		123	1614.9	91	1672.8	140	1542.9		1721.9	2024-10		88	0.18
106	Vilius Gaubas	20.3	1695.2		196	1519.1	89	1673.4	96	1597.6		1699.4	2025-05		136	-0.25
107	Terence Atmane	23.3	1692.1		99	1649.9	121	1618.9	144	1539.0		1707.1	2023-10		121	-0.12
