Elo Rank	Player	Age	Elo	    	hElo Rank	hElo	cElo Rank	cElo	gElo Rank	gElo	    	Peak Elo	Peak Month	    	ATP Rank	Log diff
225	Sumit Nagal	27.7	1537.4		216	1503.9	183	1531.5	302	1423.6		1745.2	2019-09		170	0.28
226	Federico Arnaboldi	24.8	1535.6		324	1390.8	204	1511.3	228	1467.8		1623.0	2024-08		185	0.20
227	Jurij Rodionov	25.9	1533.1		192	1521.2	249	1455.6	197	1489.8		1702.1	2023-06		226	0
228	Murphy Cassone	22.6	1531.3		188	1526.1	327	1388.3	229	1465.7		1684.9	2025-02		207	0.10
229	Ilia Simakin	21.5	1529.7		220	1498.0	340	1374.8	231	1464.8		1616.5	2025-05		249	-0.08
230	Shintaro Mochizuki	21.9	1529.5		210	1506.9	210	1501.7	236	1460.0		1625.3	2024-06		155	0.39
231	Jan Choinski	28.9	1529.4		253	1461.2	195	1518.2	403	1369.5		1632.0	2023-08		196	0.16
232	Alejandro Moro Canas	24.4	1528.8		212	1505.5	228	1478.5	159	1526.0		1673.5	2024-07		198	0.16
233	Ugo Blanchet	26.3	1528.0		203	1512.8	212	1498.6	245	1452.7		1659.4	2023-10		193	0.19
234	Federico Cina	18.1	1527.9		194	1520.7	358	1357.8	232	1464.0		1569.5	2025-05		294	-0.23
235	Li Tu	28.9	1525.1		227	1487.0	243	1459.7	151	1530.4		1633.5	2022-10		168	0.34
236	Denis Kudla	32.2	1523.8		211	1506.0	234	1468.3	165	1518.8		1784.4	2015-07		593	-0.92
237	Vitaliy Sachko	27.8	1519.1		277	1439.6	218	1486.5	304	1423.1		1643.5	2023-07		225	0.05
238	Juan Pablo Ficovich	28.2	1518.5		276	1440.2	199	1516.2	269	1439.3		1597.4	2020-10		152	0.45
239	Martin Klizan	35.7	1517.5		230	1484.1	203	1513.0	340	1400.2		1897.2	2015-01		417	-0.56
240	Rei Sakamoto	18.8	1517.3		235	1479.5	347	1368.7	239	1458.7		1612.5	2024-12		288	-0.18
241	Stefano Napolitano	30.0	1516.2		242	1469.1	214	1496.9	190	1497.8		1662.1	2024-05		600	-0.91
242	Juan Pablo Varillas	29.5	1515.8		313	1398.0	206	1508.7	375	1386.0		1730.0	2021-10		241	0
243	Patrick Kypson	25.5	1512.8		237	1474.7	217	1486.7	259	1442.5		1709.4	2024-02		344	-0.35
244	Dimitar Kuzmanov	31.8	1512.1		202	1514.0	250	1455.0	249	1450.9		1640.1	2021-05		277	-0.13
245	Ivan Gakhov	28.5	1504.6		362	1353.9	222	1483.6	301	1423.9		1659.6	2023-05		256	-0.04
246	Eliakim Coulibaly	23.0	1504.5		226	1488.0	307	1401.1	247	1452.2		1537.1	2025-05		272	-0.10
247	Dennis Novak	31.5	1503.6		228	1485.6	226	1479.7	131	1548.0		1758.9	2019-11		406	-0.50
248	Arthur Fery	22.6	1502.4		221	1497.2	355	1361.2	384	1381.2		1663.0	2023-10		483	-0.67
249	Marat Sharipov	22.6	1501.6		234	1479.9	330	1383.2	250	1450.8		1613.9	2025-02		243	0.02
250	Javier Barranco Cosano	26.3	1501.1		262	1454.9	248	1456.2	243	1454.5		1581.0	2024-07		307	-0.21
251	Gauthier Onclin	24.1	1500.9		245	1466.5	238	1461.5	234	1462.4		1591.3	2023-07		232	0.08
252	James Mccabe	21.8	1499.0		244	1467.3	395	1324.7	209	1484.2		1584.1	2025-03		180	0.34
253	Philip Sekulic	21.2	1498.8		233	1480.2	393	1328.2	316	1411.2		1533.1	2024-07		480	-0.64
254	Matheus Pucinelli De Almeida	24.0	1496.3		378	1339.8	216	1487.3	252	1449.0		1650.0	2022-03		281	-0.10
255	Pedro Cachin	30.1	1494.6		315	1396.9	213	1497.1	379	1383.9		1767.7	2023-07		363	-0.35
256	Manuel Guinard	29.3	1493.8		241	1469.3	264	1446.2	357	1392.7		1664.3	2022-03		395	-0.43
257	Dmitry Popko	28.5	1492.9		224	1491.3	287	1421.7	362	1391.1		1631.7	2020-01		164	0.45
258	Yuta Shimizu	25.9	1492.6		250	1462.2	383	1339.3	216	1478.7		1590.8	2024-05		191	0.30
259	Sandro Kopp	24.9	1492.6		347	1370.3	232	1469.4	255	1446.3		1492.6	2025-04		381	-0.39
260	Duje Ajdukovic	24.2	1491.7		205	1510.2	247	1458.0	348	1395.9		1687.6	2024-09		181	0.36
261	Pol Martin Tiffon	25.6	1490.4		293	1415.7	244	1459.5	256	1445.2		1512.6	2025-03		205	0.24
262	Marc Polmans	27.7	1490.0		254	1461.1	276	1434.9	214	1480.7		1618.1	2019-10		410	-0.45
263	Sho Shimabukuro	27.7	1489.3		269	1447.5	274	1436.5	176	1509.2		1692.5	2023-09		189	0.33
264	Maxime Cressy	27.9	1489.2		232	1481.3	338	1376.1	206	1485.0		1836.1	2022-08		439	-0.51
265	Andrea Collarini	33.2	1488.7		376	1341.1	230	1475.7	401	1370.3		1572.5	2019-09		203	0.27
266	Yu Hsiou Hsu	26.0	1487.5		248	1462.9	397	1324.4	447	1345.2		1648.0	2023-11		261	0.02
267	Maks Kasnikowski	21.6	1485.4		286	1425.2	207	1507.0	193	1492.7		1652.1	2024-06		257	0.04
268	Tung Lin Wu	26.9	1483.8		264	1449.8	242	1460.0	337	1401.3		1605.0	2023-04		264	0.02
269	Nicolas Mejia	25.2	1483.7		322	1393.4	221	1484.8	262	1441.9		1536.3	2021-07		250	0.07
270	Geoffrey Blancaneaux	26.7	1483.2		271	1446.6	251	1453.1	350	1395.3		1591.5	2023-05		273	-0.01
271	Bernabe Zapata Miralles	28.3	1483.1		289	1421.3	231	1469.4	240	1458.5		1779.9	2023-05		336	-0.21
272	Bernard Tomic	32.5	1482.9		268	1448.1	279	1433.0	195	1490.9		1947.4	2015-03		240	0.13
273	Stefano Travaglia	33.3	1482.6		240	1469.5	239	1461.1	321	1408.3		1793.8	2021-02		304	-0.11
274	Aziz Dougaz	28.1	1482.3		275	1443.2	237	1462.9	298	1426.8		1555.3	2020-02		222	0.21
275	Andrew Paulson	22.8	1482.3		345	1370.8	257	1449.8	264	1441.2		1560.3	2024-08		525	-0.65
276	Alvaro Guillen Meza	22.3	1481.4		434	1281.3	223	1483.3	265	1440.7		1545.7	2023-11		179	0.43
277	Rio Noguchi	26.3	1480.2		273	1444.0	429	1287.7	351	1395.0		1516.0	2022-10		246	0.12
278	Mili Poljicak	20.8	1479.2		419	1300.7	227	1479.1	334	1403.7		1508.5	2025-05		259	0.07
279	Marco Cecchinato	32.4	1478.0		310	1398.9	240	1460.7	365	1389.3		1838.6	2018-07		402	-0.37
280	Gastao Elias	34.4	1477.4		261	1457.0	262	1446.3	370	1387.1		1737.5	2016-08		320	-0.13
281	Max Hans Rehberg	21.6	1476.0		259	1457.7	318	1393.7	400	1370.9		1575.0	2025-02		267	0.05
282	Gabriel Debru	19.1	1475.4		374	1342.3	225	1480.6	271	1437.7		1596.1	2023-08		253	0.11
283	Nicolai Budkov Kjaer	18.7	1474.4		206	1509.6	297	1409.5	201	1487.2		1625.3	2025-02		319	-0.12
284	Matteo Martineau	26.2	1473.6		239	1471.2	363	1354.6	268	1439.8		1624.5	2024-02		289	-0.02
285	Beibit Zhukayev	24.5	1473.4		256	1459.7	364	1353.6	208	1484.4		1640.2	2023-11		230	0.21
286	Jie Cui	27.2	1473.0		270	1446.9	422	1294.4	274	1436.5		1491.5	2025-05		286	0
287	Jay Clarke	26.8	1473.0		309	1400.3	263	1446.3	387	1379.0		1617.4	2018-07		186	0.43
288	Alex Barrena	22.5	1473.0		369	1346.5	241	1460.0	273	1436.5		1513.6	2025-04		376	-0.27
289	Andrej Martin	35.4	1472.3		343	1373.9	270	1443.1	440	1348.5		1674.7	2014-08		318	-0.10
290	Enzo Couacaud	30.0	1471.4		267	1448.6	246	1458.0	222	1474.8		1647.1	2020-02		412	-0.35
291	Stefan Kozlov	27.2	1471.2		290	1417.7	259	1448.8	246	1452.5		1724.4	2022-02		375	-0.25
292	Egor Gerasimov	32.3	1471.0		265	1449.7	286	1423.9	393	1375.7		1802.1	2020-03		530	-0.60
293	Hazem Naw	24.7	1470.7		252	1461.9	317	1393.7	205	1485.3		1633.7	2024-02		567	-0.66
294	Andres Martin	23.7	1469.5		279	1438.1	255	1451.1	207	1484.7		1603.6	2022-07		374	-0.24
295	Khumoun Sultanov	26.4	1468.4		257	1458.7	394	1327.6	257	1444.9		1553.9	2025-02			
296	Jiri Vesely	31.6	1467.8		258	1457.8	273	1437.6	171	1511.6		1891.6	2014-06		539	-0.60
297	Nerman Fatic	30.5	1466.9		296	1414.1	260	1447.2	248	1451.8		1584.4	2023-07		276	0.07
298	Saba Purtseladze	23.7	1466.8		272	1444.0	411	1307.4	281	1433.4		1466.8	2025-05		238	0.22
299	Henrique Rocha	21.0	1466.4		249	1462.6	282	1429.9	294	1428.0		1637.6	2024-09		200	0.40
300	Cezar Cretu	23.9	1463.6		291	1417.3	293	1416.1	284	1431.8		1526.0	2024-09		337	-0.12
301	Laurent Lokoli	29.9	1463.4		299	1409.7	235	1467.2	230	1465.0		1608.2	2023-07		452	-0.41
302	Zachary Svajda	22.4	1462.3		281	1433.9	329	1386.3	217	1477.0		1769.0	2023-10		228	0.28
303	Genaro Alberto Olivieri	26.7	1462.3		373	1344.3	254	1451.2	428	1356.1		1585.6	2023-07		291	0.04
304	Andres Andrade	26.3	1462.2		308	1400.5	267	1444.5	286	1431.1		1584.8	2024-08		306	-0.01
305	Gianluca Mager	30.4	1462.0		302	1406.3	256	1450.4	300	1424.5		1733.2	2022-01		423	-0.33
306	Antoine Escoffier	33.1	1461.3		284	1429.3	437	1276.2	335	1403.6		1628.4	2023-03		215	0.35
307	Oriol Roca Batalla	32.0	1461.1		330	1385.5	272	1439.0	360	1391.7		1554.6	2024-06		324	-0.05
308	Ryan Peniston	29.4	1460.4		280	1437.4	351	1366.2	258	1443.0		1723.2	2022-06		269	0.14
309	Patrick Zahraj	25.8	1460.1		236	1477.2	371	1349.2	287	1430.1		1596.7	2025-03		278	0.11
310	Jacopo Berrettini	26.4	1459.4		331	1385.2	277	1434.9	288	1429.7		1592.3	2024-05		394	-0.24
311	Santiago Fa Rodriguez Taverna	25.8	1459.3		328	1387.9	252	1452.8	283	1432.0		1672.6	2022-01		195	0.47
312	Omar Jasika	27.9	1458.8		278	1439.3	389	1331.5	444	1347.9		1669.1	2017-02		206	0.42
313	Stuart Parker	27.5	1458.0		266	1449.2	385	1339.0	455	1336.6		1524.1	2025-03		469	-0.40
314	Maximus Jones	20.7	1456.9		274	1443.5	368	1352.4	290	1428.5		1524.4	2025-04		408	-0.26
315	Murkel Alejandro Dellien Velasco	27.6	1456.6		323	1391.4	278	1434.8	270	1438.4		1602.5	2022-01		217	0.37
316	Christoph Negritu	31.1	1456.5		282	1433.1	314	1396.8	292	1428.3		1540.2	2024-11		292	0.08
317	Johannus Monday	23.3	1456.3		288	1422.2	386	1338.2	317	1411.2		1551.9	2025-02		244	0.26
318	Enrico Dalla Valle	27.1	1455.9		360	1356.9	269	1443.6	295	1428.0		1543.6	2024-07		299	0.06
319	Michael Geerts	30.3	1455.3		294	1415.3	288	1421.4	399	1371.3		1540.6	2023-03		274	0.15
320	Clement Chidekh	23.9	1455.2		283	1431.8	384	1339.2	296	1427.6		1695.5	2024-03		297	0.07
321	Hynek Barton	21.0	1450.9		285	1427.0	313	1397.1	299	1425.4		1498.9	2025-02		350	-0.09
322	Inaki Montes De La Torre	22.5	1446.6		314	1397.6	294	1415.3	303	1423.3		1529.0	2025-02		454	-0.34
323	Clement Tabur	25.1	1443.6		357	1360.7	290	1419.7	361	1391.3		1500.9	2023-08		280	0.14
324	Karue Sell	31.5	1443.5		297	1413.9	296	1410.4	305	1421.7		1529.3	2024-10		285	0.13
325	Alexey Vatutin	32.5	1438.1		303	1404.5	334	1382.6	380	1383.0		1637.3	2018-04		302	0.07
326	August Holmgren	27.0	1437.7		312	1398.1	335	1381.4	227	1468.8		1677.9	2021-09		188	0.55
327	Henri Squire	24.6	1437.6		319	1395.9	280	1432.9	460	1332.2		1670.0	2024-06		262	0.22
328	Abedallah Shelbayh	21.5	1437.4		287	1423.9	331	1383.1	275	1436.3		1648.2	2024-02		287	0.13
329	Edas Butvilas	20.7	1435.7		238	1472.9	350	1367.0	279	1434.6		1672.0	2024-09		221	0.40
330	Jakub Nicod	20.1	1434.2		404	1318.2	285	1426.2	309	1417.1		1506.7	2024-09		555	-0.52
331	Denis Yevseyev	31.9	1434.0		316	1396.6	310	1399.0	251	1450.6		1565.7	2024-01		275	0.19
332	Adrian Andreev	23.8	1432.0		329	1387.6	283	1427.5	430	1356.0		1642.9	2023-01		301	0.10
333	Federico Agustin Gomez	28.4	1431.2		351	1365.6	271	1441.0	311	1415.6		1668.6	2024-09		144	0.84
334	Nick Hardt	24.5	1430.7		306	1403.0	298	1409.2	310	1417.1		1619.6	2024-05		526	-0.45
335	Franco Agamenone	32.0	1430.7		384	1335.0	292	1417.1	449	1344.3		1707.6	2021-10		459	-0.31
336	Fajing Sun	28.6	1429.8		300	1409.7	461	1246.5	312	1414.9		1456.5	2025-05		218	0.43
337	Arthur Gea	20.2	1428.0		341	1375.3	301	1407.5	313	1414.0		1501.7	2025-02		309	0.09
338	Robert Strombachs	25.6	1426.9		298	1413.3	337	1376.3	314	1413.4		1462.5	2025-05		338	0
339	Nicolas Kicker	32.7	1426.5		320	1394.8	289	1421.2	417	1362.7		1706.2	2018-05		397	-0.16
340	Goncalo Oliveira	29.8	1424.7		339	1376.7	320	1393.5	396	1373.8		1441.2	2024-11		295	0.14
341	Joao Lucas Reis Da Silva	25.1	1424.1		350	1365.8	306	1402.0	315	1412.0		1516.6	2022-10		351	-0.03
342	Viktor Durasovic	28.1	1424.0		292	1416.8	388	1333.0	391	1377.6		1494.2	2025-02		245	0.33
343	Zdenek Kolar	28.5	1423.8		311	1398.8	304	1404.7	320	1408.5		1621.1	2021-09		428	-0.22
344	Facundo Mena	32.6	1423.5		370	1345.2	302	1407.3	342	1398.8		1616.9	2019-09		214	0.47
345	Filip Cristian Jianu	23.6	1422.8		398	1323.2	295	1411.0	282	1432.2		1578.5	2019-09		236	0.38
346	Samuel Vincent Ruggeri	22.6	1421.8		354	1365.0	328	1386.6	318	1410.9		1525.8	2024-06		432	-0.22
347	Mathias Bourgue	31.2	1420.5		295	1414.2	322	1390.7	369	1387.4		1674.2	2017-04		518	-0.40
348	Yan Bai	35.6	1419.0		333	1383.7	352	1366.1	378	1384.3		1494.4	2015-11		219	0.46
349	Marko Topo	21.6	1418.9		321	1393.6	305	1403.9	307	1418.7		1663.9	2022-04		333	0.05
350	Maxim Mrva	17.7	1418.2		246	1466.4	316	1394.5	238	1459.1		1619.4	2025-03		587	-0.52
351	Frederico Ferreira Silva	29.8	1418.1		336	1382.3	321	1391.2	285	1431.3		1642.4	2021-05		258	0.31
352	Gonzalo Bueno	21.1	1418.1		451	1245.6	315	1396.4	319	1409.0		1518.7	2024-04		328	0.07
353	Daniel Masur	30.4	1417.3		335	1382.7	311	1398.9	333	1404.2		1621.9	2021-03		474	-0.29
354	Giovanni Fonio	26.9	1415.6		304	1403.5	345	1370.0	322	1407.8		1566.9	2023-02		359	-0.01
355	Andre Ilagan	24.4	1413.6		332	1384.4	405	1316.8	323	1406.8		1472.7	2025-02		362	-0.02
356	Remy Bertola	26.7	1413.6		352	1365.6	365	1353.3	324	1406.8		1461.8	2022-10		329	0.08
357	Patrick Maloney	25.1	1413.1		394	1324.8	348	1368.2	325	1406.5		1439.4	2025-04		342	0.04
358	Alfredo Perez	27.9	1412.7		414	1309.3	308	1399.5	326	1406.4		1425.5	2025-04		385	-0.07
359	Lautaro Midon	21.1	1412.1		415	1308.6	303	1405.3	328	1406.0		1433.7	2025-05		317	0.12
360	Alex Martinez	24.0	1411.9		318	1396.1	408	1311.2	329	1406.0		1501.5	2024-07		517	-0.36
361	Rudolf Molleker	24.4	1411.9		367	1349.3	299	1409.2	394	1375.2		1712.9	2019-06		392	-0.08
362	David Jorda Sanchis	30.2	1410.9		380	1338.4	323	1389.4	410	1366.6		1531.3	2023-07		495	-0.31
363	Mats Rosenkranz	26.6	1409.9		326	1389.9	432	1283.6	392	1376.6		1477.6	2024-11		365	-0.01
364	Hernan Casanova	31.2	1409.0		443	1270.7	312	1397.5	397	1373.7		1474.0	2022-09		472	-0.26
365	Sascha Gueymard Wayenburg	21.7	1408.8		301	1407.2	433	1282.7	331	1404.4		1563.9	2025-01		263	0.33
366	Gerard Campana Lee	20.5	1408.8		365	1352.4	349	1367.1	330	1404.4		1510.2	2023-07		435	-0.17
367	Benoit Paire	35.9	1406.9		344	1372.6	284	1426.3	280	1434.5		1909.0	2013-05		506	-0.32
368	Jonas Forejtek	23.8	1406.3		377	1340.6	309	1399.4	374	1386.1		1614.5	2022-05		617	-0.52
369	Joel Schwaerzler	19.3	1402.4		408	1312.6	344	1371.8	338	1401.2		1621.9	2024-05		486	-0.28
370	Max Houkes	24.8	1400.8		429	1291.2	326	1388.8	339	1400.4		1481.3	2025-03		252	0.38
371	Henry Searle	19.1	1400.3		337	1378.2	403	1318.2	386	1379.3		1448.8	2025-03		431	-0.15
372	Jack Pinnington Jones	21.9	1397.2		356	1362.1	409	1308.6	306	1420.0		1521.7	2024-06		339	0.09
373	Antoine Cornut Chauvinc	24.8	1396.2		338	1377.6	400	1319.1	343	1398.1		1453.0	2025-01		537	-0.36
374	Lorenzo Giustino	33.6	1395.6		382	1337.9	332	1383.1	479	1303.6		1643.8	2019-06		282	0.28
375	Lukas Pokorny	23.2	1395.1		361	1355.8	376	1345.8	345	1397.5		1435.5	2025-05		388	-0.03
376	Daniel Michalski	25.3	1394.8		327	1389.7	343	1372.2	253	1447.4		1590.8	2020-02		315	0.18
377	Rodrigo Pacheco Mendez	20.0	1391.7		368	1346.6	377	1345.0	349	1395.9		1461.5	2024-06		266	0.35
378	Paul Jubb	25.5	1389.7		349	1366.4	398	1320.0	266	1440.2		1632.1	2022-03		254	0.40
379	Jakub Paul	26.0	1389.3		353	1365.6	441	1270.4	352	1394.7		1440.9	2025-03		335	0.12
380	Jelle Sels	29.7	1388.8		307	1401.1	382	1339.8	482	1298.2		1640.8	2022-11		358	0.06
381	Maximilian Neuchrist	33.7	1388.6		383	1337.4	339	1375.0	413	1363.8		1549.9	2023-04		422	-0.10
382	Max Wiskandt	23.2	1388.0		407	1314.5	375	1346.0	353	1394.0		1454.0	2025-04		425	-0.11
383	Kilian Feldbausch	19.6	1387.3		436	1278.2	354	1364.8	354	1393.7		1499.1	2024-01		473	-0.21
384	Luka Mikrut	21.0	1386.6		388	1329.7	366	1353.1	356	1393.3		1544.9	2024-06		293	0.27
385	Mathys Erhard	23.5	1386.6		420	1300.3	357	1358.4	355	1393.3		1431.1	2025-05		270	0.35
386	Ernesto Escobedo	28.5	1385.6		346	1370.5	380	1342.2	462	1330.4		1762.7	2017-04		548	-0.35
387	Adolfo Daniel Vallejo	20.9	1384.8		386	1334.7	336	1376.5	260	1442.4		1524.2	2020-03		242	0.47
388	Martin Damm	21.6	1384.5		342	1375.3	452	1259.5	185	1500.4		1767.9	1999-11		546	-0.34
389	Orlando Luz	27.0	1384.2		469	1213.8	333	1382.9	359	1392.1		1519.9	2021-08		653	-0.52
390	Raul Brancaccio	27.8	1381.5		359	1357.1	353	1366.0	423	1360.3		1644.9	2023-01		379	0.03
391	Gabi Adrian Boitan	25.7	1380.4		396	1323.7	325	1389.2	267	1440.2		1488.6	2022-03		368	0.06
392	Matias Soto	26.0	1379.7		399	1323.0	360	1356.0	363	1389.8		1461.2	2025-03		255	0.43
393	Moez Echargui	32.3	1379.6		371	1345.0	359	1356.8	364	1389.8		1478.4	2023-08		463	-0.16
394	Aidan Mayo	21.9	1378.1		334	1383.7	435	1278.7	332	1404.3		1541.1	2024-11		311	0.24
395	Oliver Crawford	25.9	1376.8		379	1339.2	373	1346.8	402	1369.6		1580.7	2023-10		268	0.39
396	Matej Dodig	19.8	1375.4		387	1331.2	372	1348.2	366	1387.7		1601.7	2024-09		354	0.11
397	Govind Nanda	24.1	1375.2		366	1352.1	414	1302.2	367	1387.6		1501.0	2022-09		364	0.09
398	Carlos Sanchez Jover	24.7	1373.0		444	1270.5	370	1350.0	371	1386.5		1440.5	2023-09		271	0.38
399	Mika Brunold	20.6	1372.9		363	1353.9	401	1318.9	372	1386.5		1492.5	2023-03		323	0.21
400	Michael Vrbensky	25.1	1372.9		397	1323.6	369	1350.8	373	1386.5		1576.5	2021-07		427	-0.07
401	Ramkumar Ramanathan	30.2	1371.4		375	1341.5	346	1369.9	346	1397.0		1622.0	2018-04		634	-0.46
402	Philip Henning	24.5	1370.7		364	1353.1	379	1342.9	277	1435.4		1559.8	2021-09		360	0.11
403	Corentin Denolly	27.9	1370.5		412	1309.8	406	1315.4	376	1385.3		1455.6	2025-03		300	0.30
404	Nicolas Alvarez Varona	24.0	1370.2		325	1390.4	404	1317.4	377	1385.1		1526.2	2022-11		316	0.25
405	Sasi Kumar Mukund	28.0	1369.9		372	1344.8	438	1273.1	443	1348.3		1498.8	2019-02		438	-0.08
406	Marvin Moeller	25.6	1369.7		317	1396.5	381	1341.0	278	1434.8		1567.7	2021-07		512	-0.23
407	Blake Ellis	26.1	1365.6		381	1338.1	424	1292.8	381	1382.8		1490.7	2018-02		312	0.27
408	Juan Bautista Torres	23.0	1364.6		433	1284.4	362	1354.8	382	1382.3		1586.6	2022-07		290	0.34
409	Nikolas Sanchez Izquierdo	26.1	1363.4		458	1237.5	367	1352.6	383	1381.7		1517.8	2022-06		357	0.14
410	Micah Braswell	23.2	1361.1		391	1327.2	425	1290.6	385	1380.6		1418.6	2025-01		411	0
411	Hiroki Moriya	34.3	1359.9		390	1327.7	454	1258.4	427	1357.2		1584.0	2012-12		443	-0.07
412	Charles Broom	27.0	1359.7		416	1305.3	426	1289.9	336	1403.2		1536.4	2024-06		314	0.27
413	Florent Bax	25.9	1357.6		392	1326.8	402	1318.8	388	1378.8		1449.1	2025-04		372	0.10
414	Alexey Zakharov	24.7	1357.5		428	1291.5	300	1408.1	389	1378.7		1479.8	2024-07		371	0.11
415	Tristan Lamasine	31.8	1356.2		355	1362.7	410	1308.1	297	1427.2		1641.8	2015-09		677	-0.49
416	Pedro Sakamoto	31.8	1355.3		424	1294.7	378	1344.0	390	1377.7		1495.6	2019-05		322	0.26
417	Jules Marie	33.3	1351.4		411	1310.3	412	1306.9	453	1339.5		1467.6	2024-02		528	-0.24
418	Ergi Kirkin	26.3	1346.7		389	1328.3	391	1330.5	422	1360.4		1516.7	2022-05		446	-0.06
419	Renzo Olivo	33.1	1345.6		410	1310.6	396	1324.5	448	1344.6		1643.4	2015-02		348	0.19
420	Evgeny Karlovskiy	30.7	1344.7		402	1321.3	392	1329.3	419	1361.9		1560.3	2020-01		437	-0.04
421	Robin Bertrand	22.1	1344.2		393	1326.5	427	1289.8	398	1372.1		1540.9	2024-07		366	0.14
422	Lucas Poullain	29.3	1337.7		406	1315.1	450	1263.7	404	1368.9		1590.8	2023-10		378	0.11
423	Antoine Ghibaudo	20.0	1337.1		405	1317.6	439	1272.5	405	1368.6		1359.9	2024-11		651	-0.43
424	Aleksandre Bakshi	27.8	1335.7		418	1304.6	291	1417.9	308	1417.9		1613.0	2024-07		543	-0.25
425	Adria Soriano Barrera	25.9	1335.5		400	1322.8	420	1295.6	406	1367.7		1384.5	2023-06		404	0.05
426	Daniel Merida Aguilar	20.6	1334.9		472	1209.6	374	1346.8	407	1367.4		1349.6	2025-05		303	0.34
427	Toby Alex Kodat	22.3	1334.7		430	1290.5	419	1295.8	408	1367.3		1535.4	2024-05		389	0.09
428	Marek Gengel	29.4	1334.2		403	1321.0	468	1228.1	441	1348.5		1505.8	2023-01		247	0.55
429	Juan Carlos Prado Angelo	20.1	1332.9		440	1274.6	399	1319.4	411	1366.4		1464.8	2024-11		308	0.33
430	Giles Hussey	27.9	1332.8		425	1294.4	436	1276.4	454	1338.0		1422.5	2025-04		434	-0.01
431	Garrett Johns	24.3	1329.3		409	1312.3	430	1286.2	412	1364.6		1408.0	2025-03		352	0.20
432	Dan Added	26.0	1326.5		417	1305.1	447	1265.5	414	1363.2		1509.3	2023-03		361	0.18
433	Christian Langmo	28.9	1326.4		413	1309.4	482	1181.8	415	1363.2		1411.8	2023-04		325	0.29
434	Daniel Dutra Da Silva	36.8	1326.3		447	1257.7	421	1294.5	416	1363.2		1519.5	2009-02		331	0.27
435	Oleg Prihodko	27.5	1324.5		423	1296.7	443	1268.6	418	1362.3		1514.0	2021-12		326	0.29
436	Tom Paris	22.6	1323.6		395	1324.8	465	1235.3	420	1361.8		1404.4	2025-03		403	0.08
437	Moerani Bouzige	25.8	1322.7		421	1300.0	440	1271.4	421	1361.4		1416.7	2024-12		369	0.17
438	Strong Kirchheimer	29.5	1320.6		422	1298.6	473	1210.2	424	1360.3		1390.2	2023-09		605	-0.32
439	Tyler Zink	24.1	1320.4		401	1322.2	442	1269.2	425	1360.2		1379.8	2025-03		334	0.27
440	Dane Sweeny	23.9	1317.8		426	1293.7	470	1224.1	480	1302.7		1568.3	2024-02		568	-0.26
441	Maxime Janvier	28.5	1317.3		438	1274.7	418	1296.6	368	1387.5		1601.5	2019-09		409	0.08
442	Gonzalo Villanueva	30.3	1316.4		470	1212.3	407	1312.4	426	1358.2		1454.7	2022-05		420	0.05
443	Yusuke Takahashi	27.5	1312.1		431	1288.8	431	1284.7	429	1356.1		1451.5	2018-01		414	0.07
444	Franco Roncadelli	25.2	1311.5		454	1241.8	417	1297.0	431	1355.8		1395.8	2024-09		356	0.22
445	Diego Dedura Palomero	17.1	1309.8		457	1238.0	415	1301.8	432	1354.9		1330.8	2025-04		386	0.14
446	Neil Oberleitner	25.7	1305.2		452	1242.9	416	1298.8	433	1352.6		1378.0	2024-07		405	0.10
447	Oleksandr Ovcharenko	23.4	1301.1		439	1274.7	448	1264.3	435	1350.5		1385.7	2025-02		347	0.25
448	Ryan Seggerman	25.7	1301.1		448	1254.6	387	1333.9	434	1350.6		1512.4	2024-08		481	-0.07
449	Guido Ivan Justo	27.3	1300.1		459	1235.7	423	1293.3	436	1350.1		1319.7	2025-04		387	0.15
450	Conner Huertas Del Pino	29.3	1299.0		427	1292.0	446	1266.4	437	1349.5		1354.2	2025-04		538	-0.18
451	Petr Bar Biryukov	23.2	1298.9		435	1280.6	453	1259.5	438	1349.5		1329.9	2025-02		340	0.28
452	Justin Engel	17.6	1297.6		445	1269.5	449	1263.8	439	1348.8		1451.7	2024-10		284	0.46
453	Pedro Boscardin Dias	22.2	1296.9		480	1186.4	428	1289.7	442	1348.4		1424.7	2022-05		384	0.17
454	Sebastian Fanselow	33.0	1286.6		442	1271.2	456	1256.7	468	1325.7		1540.8	2019-01		728	-0.47
455	Keegan Smith	26.6	1283.2		450	1250.6	481	1184.7	450	1341.6		1403.9	2021-12		533	-0.16
456	Masamichi Imamura	26.4	1282.5		446	1263.0	459	1251.2	451	1341.2		1394.5	2024-11		345	0.28
457	Mateus Alves	24.2	1282.4		476	1195.1	434	1279.2	452	1341.2		1422.1	2024-11		327	0.33
458	Roberto Cid	31.6	1282.1		432	1285.3	460	1250.6	446	1345.4		1621.4	2018-06		436	0.05
459	Rigele Te	27.5	1269.6		462	1231.4	413	1306.0	456	1334.8		1331.9	2024-05		502	-0.09
460	Alex Marti Pujolras	26.2	1268.1		437	1275.6	464	1239.4	457	1334.0		1359.7	2023-04		341	0.30
461	Kaichi Uchida	30.7	1267.5		453	1242.3	444	1267.2	445	1346.5		1571.8	2023-02		444	0.04
462	Mariano Kestelboim	29.2	1265.6		474	1204.2	445	1267.2	458	1332.8		1290.0	2025-04		418	0.10
