Rk	Player	M	M W-L	M W%	SPW	SPW-InP	Aces	Ace%	DFs	DF%	DF/2s	1stIn	1st%	2nd%	2%-InP	Hld%	Pts/SG	PtsL/SG
26	Magdalena Frech (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MagdalenaFrech) [POL]	53 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=MagdalenaFrech&f=)	26-27	49.1%	56.5%	56.5%	140	3.6%	107	2.7%	7.1%	61.9%	62.7%	46.4%	49.9%	64.4%	6.6	2.9
27	Leylah Fernandez (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LeylahFernandez) [CAN]	53 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=LeylahFernandez&f=)	29-24	54.7%	57.9%	59.9%	139	3.6%	229	5.9%	15.5%	62.2%	64.9%	46.4%	54.8%	68.4%	6.7	2.8
28	Anna Kalinskaya (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnnaKalinskaya) [RUS]	44 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=AnnaKalinskaya&f=)	26-18	59.1%	59.0%	61.1%	65	2.2%	141	4.9%	14.2%	65.9%	64.0%	49.3%	57.5%	70.3%	6.5	2.7
29	Linda Noskova (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LindaNoskova) [CZE]	45 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=LindaNoskova&f=)	24-21	53.3%	61.9%	63.0%	232	7.8%	188	6.3%	15.5%	59.3%	71.1%	48.5%	57.4%	76.0%	6.5	2.5
30	Sofia Kenin (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=SofiaKenin) [USA]	49 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=SofiaKenin&f=)	26-23	53.1%	59.3%	61.2%	102	3.0%	169	4.9%	15.5%	68.4%	64.9%	47.3%	56.0%	71.5%	6.5	2.7
31	Yulia Putintseva (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=YuliaPutintseva) [KAZ]	46 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=YuliaPutintseva&f=)	27-19	58.7%	58.8%	59.3%	77	2.6%	80	2.7%	8.7%	69.2%	63.4%	48.3%	52.9%	69.3%	6.6	2.7
32	Magda Linette (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MagdaLinette) [POL]	55 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=MagdaLinette&f=)	31-24	56.4%	57.8%	57.2%	167	4.5%	88	2.3%	6.2%	62.4%	64.1%	47.2%	50.3%	68.7%	6.9	2.9
33	Peyton Stearns (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=PeytonStearns) [USA]	47 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=PeytonStearns&f=)	25-22	53.2%	56.4%	57.6%	115	3.3%	159	4.5%	12.4%	63.4%	63.1%	44.9%	51.2%	64.8%	6.7	2.9
34	Olga Danilovic (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=OlgaDanilovic) [SRB]	29 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=OlgaDanilovic&f=)	18-11	62.1%	58.3%	59.8%	69	3.2%	102	4.8%	13.6%	64.9%	63.4%	48.8%	56.5%	71.4%	7.0	2.9
35	Ashlyn Krueger (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AshlynKrueger) [USA]	48 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=AshlynKrueger&f=)	26-22	54.2%	57.0%	59.2%	180	5.0%	259	7.1%	19.5%	63.4%	64.2%	44.5%	55.3%	66.4%	6.6	2.8
36	Ons Jabeur (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=OnsJabeur) [TUN]	32 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=OnsJabeur&f=)	18-14	56.3%	60.9%	61.2%	103	4.9%	76	3.6%	8.8%	58.7%	69.6%	48.6%	53.3%	73.1%	6.4	2.5
37	Anastasia Potapova (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnastasiaPotapova) [RUS]	45 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=AnastasiaPotapova&f=)	27-18	60.0%	57.1%	59.5%	120	3.5%	219	6.4%	13.8%	53.5%	66.2%	46.6%	54.0%	67.9%	6.8	2.9
38	Katie Boulter (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=KatieBoulter) [GBR]	48 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=KatieBoulter&f=)	28-20	58.3%	59.2%	61.4%	149	5.1%	201	6.9%	16.3%	57.4%	69.3%	45.5%	54.3%	72.5%	6.7	2.7
39	Belinda Bencic (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=BelindaBencic) [SUI]	29 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=BelindaBencic&f=)	20-9	69.0%	57.8%	59.5%	48	2.7%	84	4.7%	13.6%	65.3%	65.3%	43.7%	50.6%	68.0%	6.5	2.8
40	Elina Avanesyan (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ElinaAvanesyan) [ARM]	47 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=ElinaAvanesyan&f=)	24-23	51.1%	54.2%	55.7%	33	1.0%	123	3.6%	11.6%	69.2%	58.2%	45.2%	51.1%	60.4%	6.6	3.0
41	Emma Raducanu (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EmmaRaducanu) [GBR]	42 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=EmmaRaducanu&f=)	26-16	61.9%	57.2%	57.7%	146	5.1%	134	4.7%	13.2%	64.5%	63.9%	45.0%	51.9%	66.3%	6.8	2.9
42	Rebecca Sramkova (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=RebeccaSramkova) [SVK]	51 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=RebeccaSramkova&f=)	30-21	58.8%	56.4%	56.7%	135	4.0%	123	3.6%	9.3%	61.0%	61.9%	47.8%	52.7%	66.5%	6.8	3.0
43	Xin Yu Wang (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=XinYuWang) [CHN]	41 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=XinYuWang&f=)	18-23	43.9%	57.2%	58.3%	100	3.3%	127	4.1%	11.2%	62.9%	64.5%	44.9%	50.6%	67.9%	6.8	2.9
44	Mccartney Kessler (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MccartneyKessler) [USA]	40 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=MccartneyKessler&f=)	22-18	55.0%	56.3%	57.2%	82	2.7%	106	3.5%	9.0%	60.6%	62.2%	47.2%	51.8%	64.9%	6.6	2.9
45	Lulu Sun (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LuluSun) [NZL]	32 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=LuluSun&f=)	14-18	43.8%	60.0%	59.8%	167	7.1%	104	4.4%	10.4%	57.6%	68.8%	48.1%	53.6%	74.1%	6.7	2.7
46	Veronika Kudermetova (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=VeronikaKudermetova) [RUS]	46 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=VeronikaKudermetova&f=)	22-24	47.8%	56.7%	56.6%	164	4.8%	120	3.5%	8.8%	60.4%	64.0%	45.6%	50.0%	64.5%	6.7	2.9
47	Marie Bouzkova (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MarieBouzkova) [CZE]	46 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=MarieBouzkova&f=)	25-21	54.3%	56.8%	58.3%	111	3.4%	162	5.0%	13.2%	62.2%	64.5%	44.1%	50.8%	66.2%	6.7	2.9
48	Dayana Yastremska (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DayanaYastremska) [UKR]	37 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=DayanaYastremska&f=)	17-20	45.9%	55.7%	57.8%	103	3.5%	183	6.2%	14.5%	57.3%	61.1%	48.4%	56.6%	64.1%	7.2	3.2
49	Naomi Osaka (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=NaomiOsaka) [JPN]	33 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=NaomiOsaka&f=)	20-13	60.6%	63.8%	62.5%	206	9.1%	74	3.3%	7.6%	57.0%	74.1%	50.3%	54.4%	79.3%	6.2	2.2
50	Anastasia Pavlyuchenkova (http://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnastasiaPavlyuchenkova) [RUS]	26 (http://www.tennisabstract.com/cgi-bin/wplayer-classic.cgi?p=AnastasiaPavlyuchenkova&f=)	13-13	50.0%	59.1%	60.6%	102	5.3%	116	6.0%	14.8%	59.2%	69.1%	44.5%	52.2%	71.2%	6.9	2.8
	Average			61.3%	58.8%	59.9%		4.7%		5.0%	13.1%	61.4%	66.2%	47.0%	54.0%	70.4%	6.6	2.7
