Rk	Player	M	M W-L	M W%	SPW	SPW-InP	Aces	Ace%	DFs	DF%	DF/2s	1stIn	1st%	2nd%	2%-InP	Hld%	Pts/SG	PtsL/SG
51	Camilo Ugo Carabelli (http://www.tennisabstract.com/cgi-bin/player.cgi?p=CamiloUgoCarabelli) [ARG]	52 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=CamiloUgoCarabelli&f=)	40-12	76.9%	60.3%	60.7%	128	3.4%	108	2.9%	8.0%	64.4%	66.1%	49.7%	54.1%	75.2%	6.7	2.7
84	Raphael Collignon (http://www.tennisabstract.com/cgi-bin/player.cgi?p=RaphaelCollignon) [BEL]	51 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=RaphaelCollignon&f=)	38-13	74.5%	64.1%	66.0%	248	7.0%	227	6.4%	17.6%	63.7%	72.7%	49.1%	59.6%	80.9%	6.3	2.3
86	Vit Kopriva (http://www.tennisabstract.com/cgi-bin/player.cgi?p=VitKopriva) [CZE]	50 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=VitKopriva&f=)	35-15	70.0%	59.8%	61.3%	128	3.6%	169	4.7%	12.1%	60.8%	66.9%	48.8%	55.5%	71.4%	6.5	2.6
90	Hugo Dellien (http://www.tennisabstract.com/cgi-bin/player.cgi?p=HugoDellien) [BOL]	65 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=HugoDellien&f=)	46-19	70.8%	64.7%	64.9%	161	3.6%	102	2.3%	7.9%	70.9%	69.1%	53.8%	58.5%	81.3%	6.3	2.2
100	Nishesh Basavareddy (http://www.tennisabstract.com/cgi-bin/player.cgi?p=NisheshBasavareddy) [USA]	53 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=NisheshBasavareddy&f=)	39-14	73.6%	63.8%	64.9%	217	6.2%	178	5.1%	12.3%	58.2%	72.0%	52.2%	59.5%	79.2%	6.3	2.3
101	Brandon Holt (http://www.tennisabstract.com/cgi-bin/player.cgi?p=BrandonHolt) [USA]	65 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=BrandonHolt&f=)	43-22	66.2%	63.3%	61.4%	319	7.0%	56	1.2%	3.7%	66.5%	69.0%	52.0%	54.0%	80.1%	6.4	2.4
109	Juan Manuel Cerundolo (http://www.tennisabstract.com/cgi-bin/player.cgi?p=JuanManuelCerundolo) [ARG]	56 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=JuanManuelCerundolo&f=)	38-18	67.9%	60.0%	60.8%	179	4.7%	162	4.2%	10.0%	57.8%	67.3%	50.1%	55.6%	72.2%	6.4	2.5
110	Tomas Barrios Vera (http://www.tennisabstract.com/cgi-bin/player.cgi?p=TomasBarriosVera) [CHI]	66 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=TomasBarriosVera&f=)	45-21	68.2%	61.8%	62.1%	161	3.3%	119	2.5%	6.7%	63.4%	67.5%	52.0%	55.8%	75.4%	6.4	2.5
112	Elmer Moller (http://www.tennisabstract.com/cgi-bin/player.cgi?p=ElmerMoller) [DEN]	56 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=ElmerMoller&f=)	35-21	62.5%	59.1%	60.9%	163	4.0%	226	5.6%	14.3%	60.9%	66.7%	47.3%	55.2%	71.6%	6.8	2.8
116	Eliot Spizzirri (http://www.tennisabstract.com/cgi-bin/player.cgi?p=EliotSpizzirri) [USA]	51 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=EliotSpizzirri&f=)	32-19	62.7%	61.8%	61.9%	170	4.6%	108	2.9%	8.7%	66.3%	66.9%	51.8%	56.7%	75.3%	6.4	2.4
118	Roman Andres Burruchaga (http://www.tennisabstract.com/cgi-bin/player.cgi?p=RomanAndresBurruchaga) [ARG]	57 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=RomanAndresBurruchaga&f=)	36-21	63.2%	59.7%	61.6%	115	2.9%	201	5.0%	12.1%	58.6%	67.0%	49.2%	55.9%	71.2%	6.5	2.6
119	Tristan Boyer (http://www.tennisabstract.com/cgi-bin/player.cgi?p=TristanBoyer) [USA]	46 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=TristanBoyer&f=)	27-19	58.7%	61.7%	62.4%	162	4.6%	141	4.0%	10.2%	61.1%	69.0%	50.3%	56.0%	76.4%	6.6	2.5
120	Valentin Royer (http://www.tennisabstract.com/cgi-bin/player.cgi?p=ValentinRoyer) [FRA]	63 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=ValentinRoyer&f=)	43-20	68.3%	64.9%	64.8%	285	6.1%	143	3.1%	8.4%	63.2%	72.5%	52.0%	56.7%	81.1%	6.5	2.3
