Rk	Player	M	M W-L	M W%	SPW	SPW-InP	Aces	Ace%	DFs	DF%	DF/2s	1stIn	1st%	2nd%	2%-InP	Hld%	Pts/SG	PtsL/SG
121	Terence Atmane (http://www.tennisabstract.com/cgi-bin/player.cgi?p=TerenceAtmane) [FRA]	51 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=TerenceAtmane&f=)	32-19	62.7%	65.9%	66.0%	388	9.6%	203	5.0%	12.3%	59.1%	74.6%	53.4%	60.9%	83.8%	6.3	2.2
122	Daniel Elahi Galan (http://www.tennisabstract.com/cgi-bin/player.cgi?p=DanielElahiGalan) [COL]	50 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=DanielElahiGalan&f=)	31-19	62.0%	65.2%	64.4%	254	7.2%	93	2.7%	7.2%	63.3%	72.9%	52.1%	56.2%	82.5%	6.4	2.2
126	Jerome Kym (http://www.tennisabstract.com/cgi-bin/player.cgi?p=JeromeKym) [SUI]	45 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=JeromeKym&f=)	31-14	68.9%	66.1%	64.3%	343	11.0%	104	3.3%	9.0%	62.8%	74.9%	51.2%	56.2%	81.2%	6.2	2.1
127	Dalibor Svrcina (http://www.tennisabstract.com/cgi-bin/player.cgi?p=DaliborSvrcina) [CZE]	65 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=DaliborSvrcina&f=)	42-23	64.6%	56.5%	59.4%	87	1.9%	274	6.1%	16.8%	63.4%	63.8%	43.9%	52.8%	65.2%	6.7	2.9
128	Tristan Schoolkate (http://www.tennisabstract.com/cgi-bin/player.cgi?p=TristanSchoolkate) [AUS]	54 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=TristanSchoolkate&f=)	33-21	61.1%	64.1%	63.4%	461	11.1%	225	5.4%	12.6%	56.9%	75.0%	49.6%	56.8%	81.0%	6.6	2.4
129	Carlos Taberner (http://www.tennisabstract.com/cgi-bin/player.cgi?p=CarlosTaberner) [ESP]	65 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=CarlosTaberner&f=)	39-26	60.0%	59.6%	60.8%	97	1.9%	162	3.3%	9.6%	66.0%	64.2%	50.6%	56.0%	71.6%	6.6	2.7
136	Vilius Gaubas (http://www.tennisabstract.com/cgi-bin/player.cgi?p=ViliusGaubas) [LTU]	57 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=ViliusGaubas&f=)	32-25	56.1%	60.2%	60.3%	165	3.8%	111	2.6%	7.9%	67.6%	65.5%	49.3%	53.5%	73.3%	6.4	2.5
137	Emilio Nava (http://www.tennisabstract.com/cgi-bin/player.cgi?p=EmilioNava) [USA]	63 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=EmilioNava&f=)	40-23	63.5%	64.7%	63.7%	458	10.7%	192	4.5%	11.9%	62.3%	73.1%	51.0%	57.8%	81.0%	6.2	2.2
141	Federico Coria (http://www.tennisabstract.com/cgi-bin/player.cgi?p=FedericoCoria) [ARG]	56 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=FedericoCoria&f=)	36-20	64.3%	58.1%	59.2%	120	2.8%	163	3.9%	11.4%	66.0%	63.6%	47.5%	53.6%	69.2%	6.7	2.8
143	Alexander Blockx (http://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexanderBlockx) [BEL]	49 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=AlexanderBlockx&f=)	32-17	65.3%	62.6%	62.4%	186	5.8%	104	3.2%	8.1%	60.2%	70.0%	51.3%	55.8%	78.2%	6.5	2.4
145	Martin Landaluce (http://www.tennisabstract.com/cgi-bin/player.cgi?p=MartinLandaluce) [ESP]	55 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=MartinLandaluce&f=)	36-19	65.5%	62.4%	64.0%	230	5.8%	227	5.8%	15.3%	62.4%	70.3%	49.4%	58.3%	77.2%	6.5	2.4
146	Liam Draxl (http://www.tennisabstract.com/cgi-bin/player.cgi?p=LiamDraxl) [CAN]	60 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=LiamDraxl&f=)	40-20	66.7%	61.6%	62.4%	222	5.0%	189	4.3%	12.9%	66.9%	68.7%	47.3%	54.3%	76.5%	6.6	2.5
150	Kyrian Jacquet (http://www.tennisabstract.com/cgi-bin/player.cgi?p=KyrianJacquet) [FRA]	45 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=KyrianJacquet&f=)	28-17	62.2%	61.6%	62.4%	178	5.6%	146	4.6%	10.3%	55.6%	70.7%	50.3%	56.0%	76.2%	6.6	2.5
152	Juan Pablo Ficovich (http://www.tennisabstract.com/cgi-bin/player.cgi?p=JuanPabloFicovich) [ARG]	65 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=JuanPabloFicovich&f=)	37-28	56.9%	61.9%	61.8%	273	6.0%	164	3.6%	8.7%	58.2%	70.1%	50.3%	55.1%	75.3%	6.3	2.4
155	Shintaro Mochizuki (http://www.tennisabstract.com/cgi-bin/player.cgi?p=ShintaroMochizuki) [JPN]	44 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=ShintaroMochizuki&f=)	25-19	56.8%	59.1%	60.6%	103	3.2%	147	4.6%	11.0%	58.4%	67.5%	47.4%	53.2%	70.2%	6.5	2.7
160	Zsombor Piros (http://www.tennisabstract.com/cgi-bin/player.cgi?p=ZsomborPiros) [HUN]	51 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=ZsomborPiros&f=)	33-18	64.7%	60.9%	62.5%	117	3.4%	158	4.6%	11.2%	58.6%	67.0%	52.2%	58.8%	73.8%	6.5	2.6
164	Dmitry Popko (http://www.tennisabstract.com/cgi-bin/player.cgi?p=DmitryPopko) [KAZ]	57 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=DmitryPopko&f=)	30-27	52.6%	62.7%	62.3%	288	6.5%	150	3.4%	7.1%	52.5%	72.5%	51.8%	55.8%	78.2%	6.4	2.4
165	Hady Habib (http://www.tennisabstract.com/cgi-bin/player.cgi?p=HadyHabib) [LIB]	48 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=HadyHabib&f=)	28-20	58.3%	66.0%	65.0%	414	11.6%	167	4.7%	12.2%	61.8%	75.6%	50.5%	57.6%	84.6%	6.4	2.2
169	Alibek Kachmazov (http://www.tennisabstract.com/cgi-bin/player.cgi?p=AlibekKachmazov) [RUS]	46 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=AlibekKachmazov&f=)	24-22	52.2%	61.8%	61.3%	309	8.6%	170	4.7%	10.7%	55.8%	70.7%	50.5%	56.5%	76.4%	6.7	2.6
171	Calvin Hemery (http://www.tennisabstract.com/cgi-bin/player.cgi?p=CalvinHemery) [FRA]	60 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=CalvinHemery&f=)	36-24	60.0%	65.2%	63.5%	472	11.7%	166	4.1%	11.0%	62.7%	73.6%	51.0%	57.3%	81.5%	6.2	2.2
173	Andrea Pellegrino (http://www.tennisabstract.com/cgi-bin/player.cgi?p=AndreaPellegrino) [ITA]	48 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=AndreaPellegrino&f=)	26-22	54.2%	61.0%	62.3%	84	2.4%	121	3.5%	10.1%	65.6%	64.9%	53.5%	59.5%	74.9%	6.4	2.5
175	Coleman Wong (http://www.tennisabstract.com/cgi-bin/player.cgi?p=ColemanWong) [HKG]	53 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=ColemanWong&f=)	30-23	56.6%	62.9%	60.8%	390	10.2%	120	3.2%	8.4%	62.4%	71.3%	49.1%	53.6%	78.6%	6.5	2.4
176	Hugo Grenier (http://www.tennisabstract.com/cgi-bin/player.cgi?p=HugoGrenier) [FRA]	51 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=HugoGrenier&f=)	28-23	54.9%	63.3%	63.4%	366	10.2%	218	6.1%	16.1%	62.4%	71.5%	49.7%	59.2%	77.9%	6.4	2.3
178	Luca Van Assche (http://www.tennisabstract.com/cgi-bin/player.cgi?p=LucaVanAssche) [FRA]	44 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=LucaVanAssche&f=)	25-19	56.8%	59.4%	61.1%	120	3.7%	165	5.1%	15.0%	65.8%	66.4%	45.9%	54.0%	71.0%	6.6	2.7
179	Alvaro Guillen Meza (http://www.tennisabstract.com/cgi-bin/player.cgi?p=AlvaroGuillenMeza) [ECU]	58 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=AlvaroGuillenMeza&f=)	33-25	56.9%	58.9%	60.7%	85	2.0%	177	4.1%	12.7%	67.6%	64.3%	47.9%	54.8%	70.7%	6.7	2.7
182	Lukas Neumayer (http://www.tennisabstract.com/cgi-bin/player.cgi?p=LukasNeumayer) [AUT]	50 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=LukasNeumayer&f=)	29-21	58.0%	60.7%	61.7%	106	3.0%	121	3.4%	9.1%	62.5%	65.5%	52.8%	58.1%	73.4%	6.5	2.6
184	Constant Lestienne (http://www.tennisabstract.com/cgi-bin/player.cgi?p=ConstantLestienne) [FRA]	46 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=ConstantLestienne&f=)	25-21	54.3%	61.1%	61.5%	177	5.1%	134	3.9%	9.3%	58.4%	69.5%	49.3%	54.4%	74.7%	6.5	2.5
185	Federico Arnaboldi (http://www.tennisabstract.com/cgi-bin/player.cgi?p=FedericoArnaboldi) [ITA]	51 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=FedericoArnaboldi&f=)	26-25	51.0%	57.4%	58.7%	130	3.5%	170	4.6%	11.0%	57.9%	66.2%	45.3%	50.9%	66.8%	6.6	2.8
191	Yuta Shimizu (http://www.tennisabstract.com/cgi-bin/player.cgi?p=YutaShimizu) [JPN]	51 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=YutaShimizu&f=)	29-22	56.9%	60.8%	61.4%	152	4.3%	130	3.6%	9.5%	61.8%	67.6%	49.8%	55.0%	75.0%	6.5	2.5
192	Ignacio Buse (http://www.tennisabstract.com/cgi-bin/player.cgi?p=IgnacioBuse) [PER]	46 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=IgnacioBuse&f=)	25-21	54.3%	60.2%	60.1%	122	3.9%	74	2.3%	6.1%	61.6%	66.2%	50.5%	53.8%	72.8%	6.4	2.5
195	Santiago Fa Rodriguez Taverna (http://www.tennisabstract.com/cgi-bin/player.cgi?p=SantiagoFaRodriguezTaverna) [ARG]	57 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=SantiagoFaRodriguezTaverna&f=)	30-27	52.6%	60.1%	60.6%	182	4.2%	158	3.7%	8.9%	58.9%	67.8%	49.0%	53.7%	74.1%	6.7	2.7
196	Jan Choinski (http://www.tennisabstract.com/cgi-bin/player.cgi?p=JanChoinski) [GBR]	46 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=JanChoinski&f=)	24-22	52.2%	61.8%	61.4%	149	4.8%	73	2.3%	6.8%	65.6%	67.6%	50.8%	54.5%	75.1%	6.3	2.4
200	Henrique Rocha (http://www.tennisabstract.com/cgi-bin/player.cgi?p=HenriqueRocha) [POR]	53 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=HenriqueRocha&f=)	27-26	50.9%	59.5%	61.5%	147	3.9%	217	5.8%	13.2%	56.3%	67.2%	49.5%	57.0%	71.3%	6.6	2.7
202	Alexis Galarneau (http://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexisGalarneau) [CAN]	55 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=AlexisGalarneau&f=)	32-23	58.2%	62.3%	63.6%	173	4.2%	180	4.4%	11.1%	60.5%	69.3%	51.6%	58.1%	78.2%	6.5	2.5
203	Andrea Collarini (http://www.tennisabstract.com/cgi-bin/player.cgi?p=AndreaCollarini) [ARG]	57 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=AndreaCollarini&f=)	33-24	57.9%	61.4%	63.0%	83	2.1%	148	3.8%	12.9%	70.4%	66.2%	49.7%	57.1%	74.9%	6.3	2.4
214	Facundo Mena (http://www.tennisabstract.com/cgi-bin/player.cgi?p=FacundoMena) [ARG]	50 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=FacundoMena&f=)	28-22	56.0%	62.6%	62.1%	274	7.1%	137	3.6%	8.1%	56.0%	70.9%	52.1%	56.6%	78.2%	6.7	2.5
215	Antoine Escoffier (http://www.tennisabstract.com/cgi-bin/player.cgi?p=AntoineEscoffier) [FRA]	43 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=AntoineEscoffier&f=)	23-20	53.5%	61.6%	62.1%	221	7.3%	161	5.3%	12.3%	56.6%	71.4%	48.8%	55.7%	75.8%	6.4	2.5
217	Murkel Alejandro Dellien Velasco (http://www.tennisabstract.com/cgi-bin/player.cgi?p=MurkelAlejandroDellienVelasco) [BOL]	57 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=MurkelAlejandroDellienVelasco&f=)	31-26	54.4%	59.1%	59.9%	121	2.8%	135	3.1%	9.1%	65.6%	64.8%	48.4%	53.3%	71.1%	6.7	2.7
220	Benjamin Hassan (http://www.tennisabstract.com/cgi-bin/player.cgi?p=BenjaminHassan) [LBN]	56 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=BenjaminHassan&f=)	30-26	53.6%	60.1%	60.5%	234	5.8%	179	4.4%	9.7%	54.8%	68.7%	49.7%	55.1%	73.8%	6.7	2.7
226	Jurij Rodionov (http://www.tennisabstract.com/cgi-bin/player.cgi?p=JurijRodionov) [AUT]	51 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=JurijRodionov&f=)	26-25	51.0%	61.8%	62.1%	232	6.1%	156	4.1%	10.4%	60.4%	70.0%	49.3%	55.1%	76.2%	6.5	2.5
236	Filip Cristian Jianu (http://www.tennisabstract.com/cgi-bin/player.cgi?p=FilipCristianJianu) [ROU]	51 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=FilipCristianJianu&f=)	25-26	49.0%	59.6%	59.9%	68	1.9%	65	1.8%	5.8%	68.0%	63.8%	50.6%	53.7%	70.6%	6.3	2.5
240	Bernard Tomic (http://www.tennisabstract.com/cgi-bin/player.cgi?p=BernardTomic) [AUS]	57 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=BernardTomic&f=)	32-25	56.1%	62.0%	61.0%	327	7.4%	133	3.0%	7.1%	57.4%	72.0%	48.6%	52.3%	76.5%	6.5	2.5
241	Juan Pablo Varillas (http://www.tennisabstract.com/cgi-bin/player.cgi?p=JuanPabloVarillas) [PER]	45 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=JuanPabloVarillas&f=)	25-20	55.6%	58.8%	59.0%	127	3.8%	98	2.9%	7.0%	58.0%	65.9%	49.0%	52.7%	70.4%	6.4	2.6
250	Nicolas Mejia (http://www.tennisabstract.com/cgi-bin/player.cgi?p=NicolasMejia) [COL]	49 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=NicolasMejia&f=)	24-25	49.0%	60.5%	60.7%	165	4.8%	121	3.5%	8.5%	58.3%	68.7%	48.9%	53.5%	70.6%	6.4	2.5
264	Tung Lin Wu (http://www.tennisabstract.com/cgi-bin/player.cgi?p=TungLinWu) [TPE]	43 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=TungLinWu&f=)	21-22	48.8%	61.9%	61.2%	170	5.2%	72	2.2%	6.9%	67.8%	67.7%	49.8%	53.4%	75.6%	6.5	2.5
281	Matheus Pucinelli De Almeida (http://www.tennisabstract.com/cgi-bin/player.cgi?p=MatheusPucinelliDeAlmeida) [BRA]	45 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=MatheusPucinelliDeAlmeida&f=)	24-21	53.3%	60.5%	62.4%	84	2.6%	152	4.7%	12.6%	62.7%	67.0%	49.5%	56.7%	75.5%	6.7	2.7
287	Abedallah Shelbayh (http://www.tennisabstract.com/cgi-bin/player.cgi?p=AbedallahShelbayh) [JOR]	45 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=AbedallahShelbayh&f=)	22-23	48.9%	59.7%	61.0%	154	4.8%	168	5.3%	13.2%	59.9%	67.2%	48.4%	55.7%	72.0%	6.6	2.7
290	Juan Bautista Torres (http://www.tennisabstract.com/cgi-bin/player.cgi?p=JuanBautistaTorres) [ARG]	53 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=JuanBautistaTorres&f=)	25-28	47.2%	57.3%	58.7%	50	1.4%	125	3.4%	9.7%	65.1%	61.4%	49.6%	54.9%	65.4%	6.4	2.7
291	Genaro Alberto Olivieri (http://www.tennisabstract.com/cgi-bin/player.cgi?p=GenaroAlbertoOlivieri) [ARG]	54 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=GenaroAlbertoOlivieri&f=)	26-28	48.1%	58.4%	59.1%	45	1.2%	74	2.0%	7.2%	72.6%	61.9%	49.3%	53.2%	69.4%	6.5	2.7
299	Enrico Dalla Valle (http://www.tennisabstract.com/cgi-bin/player.cgi?p=EnricoDallaValle) [ITA]	53 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=EnricoDallaValle&f=)	26-27	49.1%	59.7%	60.0%	126	3.5%	101	2.8%	8.7%	67.9%	64.2%	50.3%	55.1%	70.5%	6.5	2.6
324	Oriol Roca Batalla (http://www.tennisabstract.com/cgi-bin/player.cgi?p=OriolRocaBatalla) [ESP]	45 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=OriolRocaBatalla&f=)	22-23	48.9%	61.7%	61.8%	135	4.2%	89	2.8%	7.0%	60.5%	67.7%	52.4%	56.3%	75.9%	6.5	2.5
328	Gonzalo Bueno (http://www.tennisabstract.com/cgi-bin/player.cgi?p=GonzaloBueno) [PER]	51 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=GonzaloBueno&f=)	22-29	43.1%	56.7%	58.3%	42	1.1%	138	3.6%	10.0%	64.2%	61.5%	48.1%	53.4%	66.2%	6.7	2.9
	Average			58.8%	61.3%	61.7%		5.1%		3.9%	10.2%	62.1%	68.2%	49.9%	55.6%	75.0%	6.5	2.5
