Rk	Player	M	M W-L	M W%	SPW	SPW-InP	Aces	Ace%	DFs	DF%	DF/2s	1stIn	1st%	2nd%	2%-InP	Hld%	Pts/SG	PtsL/SG
20	Stefanos Tsitsipas (http://www.tennisabstract.com/cgi-bin/player.cgi?p=StefanosTsitsipas) [GRE]	56 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=StefanosTsitsipas&f=)	34-22	60.7%	67.7%	67.4%	372	8.8%	166	3.9%	10.1%	61.1%	75.9%	54.7%	60.8%	86.2%	6.2	2.0
21	Ugo Humbert (http://www.tennisabstract.com/cgi-bin/player.cgi?p=UgoHumbert) [FRA]	55 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=UgoHumbert&f=)	32-23	58.2%	67.0%	65.4%	431	9.8%	123	2.8%	7.2%	61.3%	75.1%	54.0%	58.3%	85.1%	6.2	2.0
22	Tomas Machac (http://www.tennisabstract.com/cgi-bin/player.cgi?p=TomasMachac) [CZE]	54 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=TomasMachac&f=)	31-23	57.4%	63.7%	63.6%	303	7.5%	166	4.1%	10.7%	61.9%	71.0%	51.9%	58.1%	79.0%	6.3	2.3
23	Sebastian Korda (http://www.tennisabstract.com/cgi-bin/player.cgi?p=SebastianKorda) [USA]	40 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=SebastianKorda&f=)	25-15	62.5%	67.1%	65.4%	286	9.7%	75	2.5%	6.6%	61.3%	74.9%	54.6%	58.4%	84.8%	6.2	2.0
24	Karen Khachanov (http://www.tennisabstract.com/cgi-bin/player.cgi?p=KarenKhachanov) [RUS]	53 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=KarenKhachanov&f=)	29-24	54.7%	65.9%	64.6%	343	8.3%	107	2.6%	7.2%	63.8%	73.7%	52.2%	56.2%	80.9%	6.1	2.1
25	Alexei Popyrin (http://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexeiPopyrin) [AUS]	51 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=AlexeiPopyrin&f=)	27-24	52.9%	65.3%	63.8%	451	11.1%	157	3.9%	10.8%	64.2%	75.2%	47.6%	53.3%	83.1%	6.5	2.3
26	Flavio Cobolli (http://www.tennisabstract.com/cgi-bin/player.cgi?p=FlavioCobolli) [ITA]	59 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=FlavioCobolli&f=)	33-26	55.9%	62.5%	62.9%	293	6.2%	200	4.2%	9.3%	54.5%	70.7%	52.7%	58.1%	78.5%	6.6	2.5
27	Felix Auger Aliassime (http://www.tennisabstract.com/cgi-bin/player.cgi?p=FelixAugerAliassime) [CAN]	55 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=FelixAugerAliassime&f=)	32-23	58.2%	67.3%	65.8%	522	12.5%	175	4.2%	12.4%	66.4%	75.4%	51.4%	58.7%	84.7%	6.3	2.0
28	Hubert Hurkacz (http://www.tennisabstract.com/cgi-bin/player.cgi?p=HubertHurkacz) [POL]	42 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=HubertHurkacz&f=)	25-17	59.5%	68.5%	64.5%	505	15.2%	72	2.2%	5.9%	63.2%	77.3%	53.4%	56.8%	87.8%	6.2	1.9
29	Alejandro Davidovich Fokina (http://www.tennisabstract.com/cgi-bin/player.cgi?p=AlejandroDavidovichFokina) [ESP]	53 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=AlejandroDavidovichFokina&f=)	30-23	56.6%	61.7%	61.6%	209	4.8%	121	2.8%	8.3%	66.3%	67.1%	51.2%	55.8%	76.9%	6.7	2.5
30	Matteo Berrettini (http://www.tennisabstract.com/cgi-bin/player.cgi?p=MatteoBerrettini) [ITA]	60 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=MatteoBerrettini&f=)	40-20	66.7%	70.1%	66.9%	617	13.5%	86	1.9%	6.1%	69.2%	77.7%	53.2%	56.6%	89.7%	6.2	1.8
31	Denis Shapovalov (http://www.tennisabstract.com/cgi-bin/player.cgi?p=DenisShapovalov) [CAN]	49 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=DenisShapovalov&f=)	30-19	61.2%	66.5%	68.8%	375	10.2%	294	8.0%	20.0%	59.9%	76.9%	51.0%	63.7%	84.5%	6.2	2.1
32	Brandon Nakashima (http://www.tennisabstract.com/cgi-bin/player.cgi?p=BrandonNakashima) [USA]	66 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=BrandonNakashima&f=)	36-30	54.5%	67.3%	64.2%	556	11.6%	74	1.5%	4.6%	66.2%	74.5%	53.3%	55.9%	85.7%	6.1	2.0
33	Alex Michelsen (http://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexMichelsen) [USA]	64 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=AlexMichelsen&f=)	36-28	56.3%	64.4%	64.1%	301	6.2%	142	2.9%	9.0%	67.5%	71.1%	50.6%	55.6%	81.0%	6.5	2.3
34	Jiri Lehecka (http://www.tennisabstract.com/cgi-bin/player.cgi?p=JiriLehecka) [CZE]	49 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=JiriLehecka&f=)	29-20	59.2%	65.1%	63.5%	371	10.3%	121	3.4%	8.4%	60.1%	74.3%	51.3%	56.0%	83.2%	6.4	2.2
35	Tallon Griekspoor (http://www.tennisabstract.com/cgi-bin/player.cgi?p=TallonGriekspoor) [NED]	62 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=TallonGriekspoor&f=)	34-28	54.8%	67.5%	66.3%	565	11.1%	195	3.8%	11.0%	65.3%	76.0%	51.4%	57.8%	86.5%	6.4	2.1
36	Matteo Arnaldi (http://www.tennisabstract.com/cgi-bin/player.cgi?p=MatteoArnaldi) [ITA]	48 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=MatteoArnaldi&f=)	24-24	50.0%	62.0%	61.3%	325	8.1%	157	3.9%	9.0%	56.6%	70.9%	50.5%	55.5%	78.0%	6.6	2.5
37	Giovanni Mpetshi Perricard (http://www.tennisabstract.com/cgi-bin/player.cgi?p=GiovanniMpetshiPerricard) [FRA]	40 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=GiovanniMpetshiPerricard&f=)	19-21	47.5%	70.1%	67.7%	670	20.6%	205	6.3%	17.8%	64.5%	79.1%	53.7%	65.3%	90.4%	6.4	1.9
38	Sebastian Baez (http://www.tennisabstract.com/cgi-bin/player.cgi?p=SebastianBaez) [ARG]	48 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=SebastianBaez&f=)	21-27	43.8%	59.2%	59.6%	89	2.4%	85	2.3%	8.3%	71.9%	63.0%	49.7%	54.2%	70.5%	6.6	2.7
39	Alexandre Muller (http://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexandreMuller) [FRA]	45 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=AlexandreMuller&f=)	24-21	53.3%	61.3%	61.1%	153	4.0%	84	2.2%	6.8%	67.7%	67.4%	48.6%	52.2%	75.4%	6.6	2.6
40	Jordan Thompson (http://www.tennisabstract.com/cgi-bin/player.cgi?p=JordanThompson) [AUS]	43 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=JordanThompson&f=)	26-17	60.5%	65.8%	63.5%	318	9.8%	65	2.0%	5.0%	59.5%	74.3%	53.3%	56.1%	81.2%	6.1	2.1
41	Nuno Borges (http://www.tennisabstract.com/cgi-bin/player.cgi?p=NunoBorges) [POR]	52 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=NunoBorges&f=)	27-25	51.9%	63.6%	63.2%	289	7.1%	143	3.5%	10.0%	65.0%	70.2%	51.3%	57.1%	78.7%	6.4	2.3
42	Gael Monfils (http://www.tennisabstract.com/cgi-bin/player.cgi?p=GaelMonfils) [FRA]	43 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=GaelMonfils&f=)	28-15	65.1%	66.5%	66.3%	428	11.7%	205	5.6%	14.1%	60.2%	76.7%	51.1%	59.5%	84.9%	6.3	2.1
43	Marcos Giron (http://www.tennisabstract.com/cgi-bin/player.cgi?p=MarcosGiron) [USA]	54 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=MarcosGiron&f=)	30-24	55.6%	63.9%	62.6%	291	6.7%	79	1.8%	4.5%	59.4%	72.8%	51.0%	53.4%	80.5%	6.4	2.3
44	Lorenzo Sonego (http://www.tennisabstract.com/cgi-bin/player.cgi?p=LorenzoSonego) [ITA]	46 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=LorenzoSonego&f=)	21-25	45.7%	66.2%	65.2%	284	7.7%	97	2.6%	7.8%	66.4%	73.9%	51.1%	55.4%	84.6%	6.3	2.1
45	Luciano Darderi (http://www.tennisabstract.com/cgi-bin/player.cgi?p=LucianoDarderi) [ITA]	49 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=LucianoDarderi&f=)	20-29	40.8%	62.2%	61.5%	280	7.6%	131	3.6%	8.8%	59.7%	69.8%	51.0%	55.9%	77.0%	6.5	2.5
46	Miomir Kecmanovic (http://www.tennisabstract.com/cgi-bin/player.cgi?p=MiomirKecmanovic) [SRB]	53 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=MiomirKecmanovic&f=)	25-28	47.2%	65.0%	64.6%	244	5.8%	111	2.6%	6.8%	61.4%	73.3%	51.8%	55.6%	81.5%	6.3	2.2
47	David Goffin (http://www.tennisabstract.com/cgi-bin/player.cgi?p=DavidGoffin) [BEL]	39 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=DavidGoffin&f=)	21-18	53.8%	59.7%	59.4%	183	6.1%	111	3.7%	8.9%	58.3%	68.3%	47.7%	52.4%	71.0%	6.6	2.7
48	Pedro Martinez (http://www.tennisabstract.com/cgi-bin/player.cgi?p=PedroMartinez) [ESP]	49 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=PedroMartinez&f=)	18-31	36.7%	58.3%	60.3%	82	2.4%	167	4.9%	16.2%	70.0%	63.7%	45.8%	54.6%	69.2%	6.5	2.7
49	Roberto Bautista Agut (http://www.tennisabstract.com/cgi-bin/player.cgi?p=RobertoBautistaAgut) [ESP]	46 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=RobertoBautistaAgut&f=)	23-23	50.0%	61.9%	62.5%	117	3.1%	109	2.9%	8.6%	65.8%	67.3%	51.4%	56.2%	77.5%	6.6	2.5
50	Zizou Bergs (http://www.tennisabstract.com/cgi-bin/player.cgi?p=ZizouBergs) [BEL]	52 (http://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=ZizouBergs&f=)	29-23	55.8%	64.9%	64.3%	318	8.4%	142	3.8%	9.6%	60.9%	73.4%	51.6%	57.1%	80.8%	6.2	2.2
	Average			60.4%	65.7%	64.9%		8.8%		3.4%	9.3%	63.0%	73.6%	52.4%	57.7%	82.9%	6.3	2.2
