name,country,gender,source_file,rank,matches,match_win_pct,service_points_won_pct,aces,ace_pct,double_faults,double_fault_pct,first_serve_in_pct,first_serve_win_pct,second_serve_win_pct,hold_pct,points_per_service_game,points_lost_per_service_game,source_files
Jacob Fearnley,GBR,M,atp2.tsv,55.0,,50.0,63.0,116.0,7.5,85.0,5.5,60.2,71.2,50.6,78.5,6.4,2.4,atp2.tsv
Fabian Marozsan,HUN,M,atp2.tsv,56.0,,46.0,63.4,272.0,6.7,121.0,3.0,63.2,70.8,50.7,79.0,6.5,2.4,atp2.tsv
Sonay Kartal,GBR,W,wta2.tsv,56.0,,66.7,58.2,23.0,1.9,28.0,2.3,69.2,61.9,50.0,67.4,6.4,2.7,wta2.tsv
Jaume Munar,ESP,M,atp2.tsv,57.0,,41.7,62.8,150.0,5.1,119.0,4.0,63.8,70.4,49.4,78.0,6.3,2.3,atp2.tsv
Lucia Bronzetti,ITA,W,wta2.tsv,57.0,,46.9,55.1,78.0,2.3,106.0,3.2,63.3,60.3,46.2,64.0,6.9,3.1,wta2.tsv
Kei Nishikori,JPN,M,atp2.tsv,58.0,,51.5,62.7,85.0,3.7,51.0,2.2,66.8,68.2,51.8,77.4,6.2,2.3,atp2.tsv
Polina Kudermetova,RUS,W,wta2.tsv,58.0,,54.2,54.1,59.0,3.4,111.0,6.5,56.7,62.7,42.9,61.1,6.8,3.1,wta2.tsv
Eva Lys,GER,W,wta2.tsv,59.0,,51.7,54.8,26.0,1.3,99.0,5.0,66.0,58.2,48.2,62.2,6.6,3.0,wta2.tsv
Laslo Djere,SRB,M,atp2.tsv,59.0,,61.3,64.3,194.0,8.4,83.0,3.6,61.4,72.0,52.0,81.6,6.4,2.3,atp2.tsv
Benjamin Bonzi,FRA,M,atp2.tsv,60.0,,57.9,66.1,104.0,7.0,26.0,1.7,64.7,71.2,56.7,82.8,6.4,2.2,atp2.tsv
Jaqueline Cristian,ROU,W,wta2.tsv,60.0,,50.0,55.6,121.0,4.0,150.0,4.9,58.3,63.1,45.2,63.2,6.7,3.0,wta2.tsv
Alejandro Tabilo,CHI,M,atp2.tsv,61.0,,39.5,63.7,324.0,8.7,125.0,3.3,62.5,72.7,48.8,82.0,6.7,2.4,atp2.tsv
Moyuka Uchijima,JPN,W,wta2.tsv,61.0,,38.1,54.3,77.0,2.6,222.0,7.6,56.9,61.9,44.3,59.5,6.8,3.1,wta2.tsv
Alexander Bublik,KAZ,M,atp2.tsv,62.0,,33.3,64.6,472.0,15.8,221.0,7.4,60.7,77.3,44.9,80.7,6.4,2.3,atp2.tsv
Anna Blinkova,RUS,W,wta2.tsv,62.0,,37.5,51.6,56.0,2.1,146.0,5.4,61.9,56.4,43.9,54.6,6.8,3.3,wta2.tsv
Katerina Siniakova,CZE,W,wta2.tsv,63.0,,48.8,55.7,80.0,2.6,226.0,7.3,61.1,63.3,43.9,62.6,6.6,2.9,wta2.tsv
Roberto Carballes Baena,ESP,M,atp2.tsv,63.0,,44.2,61.3,172.0,5.1,108.0,3.2,62.9,68.3,49.4,74.6,6.5,2.5,atp2.tsv
Francisco Comesana,ARG,M,atp2.tsv,64.0,,48.1,64.2,226.0,8.7,84.0,3.2,62.1,72.4,50.8,80.4,6.5,2.3,atp2.tsv
Viktoriya Tomova,BUL,W,wta2.tsv,64.0,,40.5,52.6,55.0,1.8,147.0,4.9,62.7,59.3,41.5,55.2,7.0,3.3,wta2.tsv
Joao Fonseca,BRA,M,atp2.tsv,65.0,,65.4,66.3,157.0,8.0,42.0,2.1,66.2,73.1,53.0,84.3,6.4,2.2,atp2.tsv
Katie Volynets,USA,W,wta2.tsv,65.0,,34.4,53.2,20.0,0.8,29.0,1.2,76.2,55.9,44.5,55.8,6.9,3.2,wta2.tsv
Daniel Altmaier,GER,M,atp2.tsv,66.0,,38.2,62.1,260.0,9.2,72.0,2.6,60.1,73.2,45.4,75.4,6.5,2.5,atp2.tsv
Kimberly Birrell,AUS,W,wta2.tsv,66.0,,50.0,58.1,58.0,2.7,123.0,5.7,62.9,64.1,47.9,68.5,6.5,2.7,wta2.tsv
Caroline Dolehide,USA,W,wta2.tsv,67.0,,47.5,56.2,86.0,2.7,114.0,3.6,71.1,60.6,45.6,64.4,6.9,3.0,wta2.tsv
Learner Tien,USA,M,atp2.tsv,67.0,,46.4,60.3,101.0,4.1,98.0,4.0,63.4,66.4,49.9,73.0,6.6,2.6,atp2.tsv
Jessica Bouzas Maneiro,ESP,W,wta2.tsv,68.0,,48.8,52.8,39.0,1.4,189.0,7.0,62.2,58.7,43.2,56.8,6.5,3.1,wta2.tsv
Mattia Bellucci,ITA,M,atp2.tsv,68.0,,46.2,64.7,208.0,10.5,72.0,3.6,61.5,73.1,51.2,82.1,6.6,2.3,atp2.tsv
Damir Dzumhur,BIH,M,atp2.tsv,69.0,,46.2,57.3,21.0,1.2,55.0,3.2,65.8,59.8,52.5,68.8,6.8,2.9,atp2.tsv
Suzan Lamens,NED,W,wta2.tsv,69.0,,59.5,55.9,95.0,3.6,161.0,6.0,61.6,63.5,43.7,64.9,6.7,2.9,wta2.tsv
Bu Yunchaokete,CHN,M,atp2.tsv,70.0,,40.0,64.1,225.0,8.8,51.0,2.0,58.0,73.0,51.7,79.9,6.4,2.3,atp2.tsv
Hailey Baptiste,USA,W,wta2.tsv,70.0,,53.1,59.3,139.0,5.6,133.0,5.3,56.7,68.7,46.9,71.8,6.7,2.7,wta2.tsv
Ajla Tomljanovic,AUS,W,wta2.tsv,71.0,,44.7,54.5,90.0,3.3,249.0,9.2,64.9,61.8,41.0,60.6,6.8,3.1,wta2.tsv
Juncheng Shang,CHN,M,atp2.tsv,71.0,,57.1,65.7,191.0,7.2,86.0,3.2,62.1,73.3,53.2,83.3,6.4,2.2,atp2.tsv
